@relation vegetables_grow

@attribute 'agua' numeric
% A numeric value measuring the litres per square centimeter in the greenhouse

@attribute 'luz' numeric
% A numeric value measuring the hours of exposition to light of the greenhouse

@attribute 'temperatura' numeric
% A numeric value measuring the mean temperature of the greenhouse

@attribute 'tierra' {arcilloso, limoso, arenoso, margoso, gredoso, pantanoso}
% A nominal type that establishes the type of ground used on the greenhouse

@attribute 'nota' {A, B, C, D}
% A nominal value measuring the category achieved by the vegetables of the greenhouse,
% being A the highest and D the lowest scores.

@data
8,18,16,arenoso,C
7,5,4,arenoso,C
2,2,20,margoso,B
3,12,14,arenoso,D
2,0,7,gredoso,C
6,19,15,margoso,C
7,24,5,gredoso,C
6,24,17,gredoso,C
5,8,20,arenoso,B
3,24,25,arenoso,D
1,17,16,arenoso,C
9,4,21,gredoso,C
8,19,9,margoso,C
8,24,13,gredoso,D
9,22,5,arenoso,C
3,10,15,arenoso,C
9,21,27,margoso,C
9,5,13,arenoso,D
2,23,6,arenoso,C
4,9,27,arenoso,C
7,4,15,gredoso,D
6,17,16,arenoso,C
9,7,24,margoso,C
4,10,8,margoso,B
9,21,10,gredoso,D
2,7,16,gredoso,C
2,1,28,arenoso,C
0,2,15,arenoso,C
7,8,7,arenoso,C
2,17,14,margoso,C
6,16,8,arenoso,D
5,12,7,margoso,B
0,7,14,gredoso,C
3,17,10,arenoso,D
6,2,29,margoso,B
7,24,8,gredoso,D
6,7,23,arenoso,C
0,22,29,margoso,B
7,0,16,margoso,B
10,21,12,margoso,C
9,7,1,arenoso,C
4,16,29,arenoso,C
2,6,12,gredoso,D
7,7,7,arenoso,C
4,13,18,gredoso,C
1,5,2,arenoso,C
0,6,24,arenoso,C
4,24,4,gredoso,C
7,24,12,arenoso,D
8,5,17,arenoso,C
3,19,3,gredoso,C
0,13,15,arenoso,C
7,16,3,gredoso,C
1,21,26,arenoso,C
9,8,25,gredoso,C
7,4,2,margoso,B
3,17,12,gredoso,D
9,11,30,margoso,B
8,2,16,gredoso,C
5,8,11,gredoso,C
4,12,13,arenoso,C
7,16,17,margoso,B
1,17,1,margoso,B
4,1,3,gredoso,B
6,0,15,arenoso,C
1,8,1,margoso,A
1,24,10,margoso,B
9,23,16,arenoso,C
4,8,18,margoso,A
4,9,3,gredoso,B
0,16,4,margoso,B
0,21,6,gredoso,C
8,3,2,gredoso,C
10,14,16,arenoso,C
10,8,16,arenoso,C
2,22,20,gredoso,C
10,21,19,gredoso,C
7,9,19,arenoso,C
8,3,21,gredoso,C
